timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603278684380,240,HTTP Request-createShopping,201,,TaskList CRUD tests load 1-1,text,true,,303,238,4,4,http://localhost:8901/tlist/create,237,0,24
1603278684379,240,HTTP Request-createShopping,201,,TaskList CRUD tests load 1-2,text,true,,303,238,4,4,http://localhost:8901/tlist/create,237,0,24
1603278684569,50,HTTP Request-createShopping,201,,TaskList CRUD tests load 1-4,text,true,,303,238,4,4,http://localhost:8901/tlist/create,47,0,4
1603278684437,182,HTTP Request-createShopping,201,,TaskList CRUD tests load 1-3,text,true,,303,238,4,4,http://localhost:8901/tlist/create,179,0,1
1603278684645,9,HTTP Request-createShopping,201,,TaskList CRUD tests load 1-5,text,true,,303,238,5,5,http://localhost:8901/tlist/create,9,0,1
1603278684652,8,HTTP Request-createReminders,201,,TaskList CRUD tests load 1-3,text,true,,304,239,5,5,http://localhost:8901/tlist/create,7,0,0
1603278684655,10,HTTP Request-createReminders,201,,TaskList CRUD tests load 1-5,text,true,,304,239,5,5,http://localhost:8901/tlist/create,9,0,0
1603278684651,17,HTTP Request-createReminders,201,,TaskList CRUD tests load 1-2,text,true,,304,239,5,5,http://localhost:8901/tlist/create,16,0,0
1603278684651,21,HTTP Request-createReminders,201,,TaskList CRUD tests load 1-1,text,true,,304,239,5,5,http://localhost:8901/tlist/create,20,0,0
1603278684652,25,HTTP Request-createReminders,201,,TaskList CRUD tests load 1-4,text,true,,305,239,5,5,http://localhost:8901/tlist/create,25,0,0
1603278684668,24,HTTP Request-createTaskClean,201,,TaskList CRUD tests load 1-2,text,true,,308,300,5,5,http://localhost:8901/task/create,23,0,0
1603278684665,27,HTTP Request-createTaskClean,201,,TaskList CRUD tests load 1-5,text,true,,308,300,5,5,http://localhost:8901/task/create,26,0,0
1603278684672,23,HTTP Request-createTaskClean,201,,TaskList CRUD tests load 1-1,text,true,,308,300,5,5,http://localhost:8901/task/create,22,0,0
1603278684677,15,HTTP Request-createTaskClean,201,,TaskList CRUD tests load 1-4,text,true,,308,301,5,5,http://localhost:8901/task/create,14,0,0
1603278684660,35,HTTP Request-createTaskClean,201,,TaskList CRUD tests load 1-3,text,true,,308,300,5,5,http://localhost:8901/task/create,33,0,0
1603278684696,7,HTTP Request-createTaskEggs,201,,TaskList CRUD tests load 1-1,text,true,,308,300,5,5,http://localhost:8901/task/create,7,0,0
1603278684696,9,HTTP Request-createTaskEggs,201,,TaskList CRUD tests load 1-5,text,true,,308,300,5,5,http://localhost:8901/task/create,7,0,0
1603278684696,13,HTTP Request-createTaskEggs,201,,TaskList CRUD tests load 1-4,text,true,,308,300,5,5,http://localhost:8901/task/create,13,0,0
1603278684696,19,HTTP Request-createTaskEggs,201,,TaskList CRUD tests load 1-3,text,true,,308,300,5,5,http://localhost:8901/task/create,18,0,0
1603278684696,21,HTTP Request-createTaskEggs,201,,TaskList CRUD tests load 1-2,text,true,,309,300,5,5,http://localhost:8901/task/create,21,0,0
1603278684744,8,HTTP Request-createShopping,201,,TaskList CRUD tests load 1-6,text,true,,304,238,6,6,http://localhost:8901/tlist/create,8,0,4
1603278684752,4,HTTP Request-createReminders,201,,TaskList CRUD tests load 1-6,text,true,,305,239,6,6,http://localhost:8901/tlist/create,3,0,0
1603278684756,4,HTTP Request-createTaskClean,201,,TaskList CRUD tests load 1-6,text,true,,309,301,6,6,http://localhost:8901/task/create,4,0,0
1603278684760,4,HTTP Request-createTaskEggs,201,,TaskList CRUD tests load 1-6,text,true,,309,301,6,6,http://localhost:8901/task/create,4,0,0
1603278684710,94,HTTP Request - readTasks,200,,TaskList CRUD tests load 1-4,text,true,,831,183,6,6,http://localhost:8901/task/read,94,0,0
1603278684715,90,HTTP Request - readTasks,200,,TaskList CRUD tests load 1-3,text,true,,831,183,6,6,http://localhost:8901/task/read,89,0,0
1603278684717,89,HTTP Request - readTasks,200,,TaskList CRUD tests load 1-2,text,true,,831,183,6,6,http://localhost:8901/task/read,88,0,0
