timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603200206343,643,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-99,,true,,3228,115,15,15,null,0,35,393
1603200206377,643,HTTP Request,200,OK,Stress Test 1-99,text,true,,3228,115,15,15,https://blazedemo.com/,641,0,393
1603200206393,746,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-98,,true,,3228,115,17,17,null,0,0,375
1603200206393,746,HTTP Request,200,OK,Stress Test 1-98,text,true,,3228,115,17,17,https://blazedemo.com/,743,0,375
1603200206714,495,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-92,,true,,3228,115,19,19,null,0,1,83
1603200206714,495,HTTP Request,200,OK,Stress Test 1-92,text,true,,3228,115,19,19,https://blazedemo.com/,494,0,83
1603200206543,732,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-95,,true,,3228,115,20,20,null,0,2,217
1603200206545,732,HTTP Request,200,OK,Stress Test 1-95,text,true,,3228,115,20,20,https://blazedemo.com/,732,0,217
1603200206504,807,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-96,,true,,3228,115,21,21,null,0,2,253
1603200206505,807,HTTP Request,200,OK,Stress Test 1-96,text,true,,3228,115,21,21,https://blazedemo.com/,805,0,253
1603200206711,658,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-93,,true,,3228,115,22,22,null,0,1,73
1603200206712,658,HTTP Request,200,OK,Stress Test 1-93,text,true,,3228,115,22,22,https://blazedemo.com/,657,0,73
1603200206597,773,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-94,,true,,3228,115,22,22,null,0,1,173
1603200206598,773,HTTP Request,200,OK,Stress Test 1-94,text,true,,3228,115,22,22,https://blazedemo.com/,772,0,173
1603200207022,350,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-99,,true,,3228,115,22,22,null,0,1,57
1603200207023,350,HTTP Request,200,OK,Stress Test 1-99,text,true,,3228,115,22,22,https://blazedemo.com/,349,0,57
1603200206444,932,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Stress Test 1-97,,true,,3228,115,22,22,null,0,1,313
